BranchKey,BranchID,BranchName,City,State,Region,BranchType
1,BR0001,Bhopal Central Branch 1,Bhopal,Madhya Pradesh,North,Metro
2,BR0002,Patna Central Branch 2,Patna,Bihar,North,Semi-Urban
3,BR0003,Hyderabad Central Branch 3,Hyderabad,Telangana,East,Urban
4,BR0004,Kochi Central Branch 4,Kochi,Kerala,East,Semi-Urban
5,BR0005,Pune Central Branch 5,Pune,Maharashtra,North,Urban
6,BR0006,Gurugram Central Branch 6,Gurugram,Haryana,East,Metro
7,BR0007,Kochi Central Branch 7,Kochi,Kerala,West,Metro
8,BR0008,Lucknow Central Branch 8,Lucknow,Uttar Pradesh,West,Urban
9,BR0009,Gurugram Central Branch 9,Gurugram,Haryana,East,Urban
10,BR0010,Delhi Central Branch 10,Delhi,Delhi,North,Metro
11,BR0011,Bengaluru Central Branch 11,Bengaluru,Karnataka,East,Urban
12,BR0012,Gurugram Central Branch 12,Gurugram,Haryana,East,Metro
13,BR0013,Jaipur Central Branch 13,Jaipur,Rajasthan,Central,Metro
14,BR0014,Patna Central Branch 14,Patna,Bihar,West,Urban
15,BR0015,Bengaluru Central Branch 15,Bengaluru,Karnataka,South,Semi-Urban
16,BR0016,Kolkata Central Branch 16,Kolkata,West Bengal,South,Metro
17,BR0017,Gurugram Central Branch 17,Gurugram,Haryana,South,Urban
18,BR0018,Ahmedabad Central Branch 18,Ahmedabad,Gujarat,East,Metro
19,BR0019,Delhi Central Branch 19,Delhi,Delhi,South,Metro
20,BR0020,Bengaluru Central Branch 20,Bengaluru,Karnataka,Central,Metro
21,BR0021,Lucknow Central Branch 21,Lucknow,Uttar Pradesh,East,Urban
22,BR0022,Delhi Central Branch 22,Delhi,Delhi,North,Urban
23,BR0023,Noida Central Branch 23,Noida,Uttar Pradesh,North,Urban
24,BR0024,Mumbai Central Branch 24,Mumbai,Maharashtra,East,Urban
25,BR0025,Kolkata Central Branch 25,Kolkata,West Bengal,West,Urban
26,BR0026,Gurugram Central Branch 26,Gurugram,Haryana,West,Rural
27,BR0027,Ahmedabad Central Branch 27,Ahmedabad,Gujarat,North,Rural
28,BR0028,Mumbai Central Branch 28,Mumbai,Maharashtra,South,Semi-Urban
29,BR0029,Gurugram Central Branch 29,Gurugram,Haryana,Central,Urban
30,BR0030,Pune Central Branch 30,Pune,Maharashtra,East,Metro
31,BR0031,Pune Central Branch 31,Pune,Maharashtra,Central,Semi-Urban
32,BR0032,Jaipur Central Branch 32,Jaipur,Rajasthan,Central,Rural
33,BR0033,Pune Central Branch 33,Pune,Maharashtra,Central,Semi-Urban
34,BR0034,Jaipur Central Branch 34,Jaipur,Rajasthan,East,Urban
35,BR0035,Noida Central Branch 35,Noida,Uttar Pradesh,South,Metro
36,BR0036,Kolkata Central Branch 36,Kolkata,West Bengal,East,Semi-Urban
37,BR0037,Pune Central Branch 37,Pune,Maharashtra,North,Urban
38,BR0038,Mumbai Central Branch 38,Mumbai,Maharashtra,South,Urban
39,BR0039,Delhi Central Branch 39,Delhi,Delhi,North,Metro
40,BR0040,Kolkata Central Branch 40,Kolkata,West Bengal,Central,Semi-Urban
41,BR0041,Kolkata Central Branch 41,Kolkata,West Bengal,South,Urban
42,BR0042,Lucknow Central Branch 42,Lucknow,Uttar Pradesh,Central,Semi-Urban
43,BR0043,Chennai Central Branch 43,Chennai,Tamil Nadu,North,Semi-Urban
44,BR0044,Kolkata Central Branch 44,Kolkata,West Bengal,East,Urban
45,BR0045,Chennai Central Branch 45,Chennai,Tamil Nadu,South,Urban
46,BR0046,Noida Central Branch 46,Noida,Uttar Pradesh,Central,Urban
47,BR0047,Gurugram Central Branch 47,Gurugram,Haryana,West,Urban
48,BR0048,Mumbai Central Branch 48,Mumbai,Maharashtra,Central,Metro
49,BR0049,Pune Central Branch 49,Pune,Maharashtra,North,Semi-Urban
50,BR0050,Bengaluru Central Branch 50,Bengaluru,Karnataka,North,Semi-Urban
51,BR0051,Patna Central Branch 51,Patna,Bihar,East,Semi-Urban
52,BR0052,Lucknow Central Branch 52,Lucknow,Uttar Pradesh,South,Urban
53,BR0053,Ahmedabad Central Branch 53,Ahmedabad,Gujarat,West,Urban
54,BR0054,Mumbai Central Branch 54,Mumbai,Maharashtra,North,Metro
55,BR0055,Kochi Central Branch 55,Kochi,Kerala,South,Semi-Urban
56,BR0056,Hyderabad Central Branch 56,Hyderabad,Telangana,West,Metro
57,BR0057,Mumbai Central Branch 57,Mumbai,Maharashtra,East,Metro
58,BR0058,Bengaluru Central Branch 58,Bengaluru,Karnataka,South,Urban
59,BR0059,Pune Central Branch 59,Pune,Maharashtra,Central,Urban
60,BR0060,Delhi Central Branch 60,Delhi,Delhi,West,Metro
61,BR0061,Pune Central Branch 61,Pune,Maharashtra,Central,Semi-Urban
62,BR0062,Pune Central Branch 62,Pune,Maharashtra,Central,Rural
63,BR0063,Noida Central Branch 63,Noida,Uttar Pradesh,West,Urban
